signal,fragment
Generic artist,"[Artist]-stan
[Artist]-fanboy
too-much-[Artist]
cool-it-with-the-[Artist]
[Artist]
[Artist]-on-repeat
omfg-[Artist]
[Artist]-hits-different
annoying-your-neighbors-with-[Artist]
constantly-defending-[artist]
[artist]-hive-army-stan
[artist]-as-your-zoom-background"
Bad Bunny,"pre-ordered-the-bad-bunny-crocs
YHLQMDLG-OMG-too-much-bad-bunny"
Travis Scott,keeping-kylie-rich-by-buying-travis-scott-meals
Drake,"sadsack-drake
depressive-canadian
soft-boi
crying-during-sex"
The Weeknd,"motherfucking-starboy
hxcore-falsetto
knew-about-the-weekend-before-he-was-cool
can't-believe-the-idol-was-canceled"
Billie Eilish,"billie-stan
omg-billie-is-so-iconic
depressed-bops
hot-topic-threw-up-on-you
green-hair-dont-care"
Ariana Grande,"arianator
un-enunciated
ponytail-pop
high-notes-and-higher-ponytails
thank-you-next"
Dua Lipa,"dula-peep
disco-is-back
dua-little-dance
barbie-disco
catch-me-or-i-go-houdini
not-one-hair-outta-place"
Halsey,"upscale-myspace-music
no-genre-all-drama
we-could-be-so-good"
Post Malone,"face-tattoo
falling-asleep-standing-up
you-listen-to-podcasts-at-half-speed
first-time-at-olive-garden"
Lizzo,"yes-bitch-you-rule
pop-music-motivational
scented-candle-and-hard-seltzer
100-percent-that-bitch
flute-infused-r&b
flute-twerk
all-the-rumors-are-true"
Ed Sheeran,"sensitive-english-ginger
romcom-trailer-music
wedding-or-funeral-vibes
all-your-favorite-albums-are-in-mathematical-notation"
Khalid,you-might-even-know-what-khalid-looks-like
Eminem,"moms-spaghetti
the-og-stan
marshall-mathers-vs-slim-shady"
Rihanna,"still-listening-to-anti
waiting-for-the-album
head-to-toe-fenty
oh-na-na
live-for-the-fenty-bowl"
Sia,"scream-at-the-top-of-your-lungs
faceless-popstar
dance-moms-loving
big-bows-and-bigger-wigs"
Mariah Carey,"you-used-to-listen-to-ariana-secretly
you-think-you-can-hit-the-whistle-notes
it's-christmas-year-round-at-your-place
you're-a-lamb-miss-mary"
Beyonce,"queen-bey
memorized-all-the-single-ladies-choreography
waited-up-till-midnight-for-the-surprise-album
becky-with-the-good-hair
surfbort
everybody-on-mute
alien-superstar"
Sam Smith,"keyboard-is-wet-from-crying-at-work
definitely-in-love-with-your-coworker-or-best-friend
dirty-dirty-boy"
Pentatonix,"blink-twice-if-you-need-help
wannabe-tenor-but-probably-a-bass
awkward-beatboxing
only-listen-at-christmas"
Michael Buble,"mayonnaise-as-a-food-group
hung-out-with-your-parents-as-a-child
old-person-trapped-in-a-young-person's-body
rush-ordered-the-sparkling-water"
Morgan Wallen,"you've-used-the-same-mask-all-pandemic-long
thought-about-kissing-your-cousin-for-tiktok-views
newly-shaved-mullet"
Marshmello,"fortnite-kid
among-us-character-looking
still-clubbing-during-pandemic"
Kanye West,"can-be-convinced-the-earth-is-flat
probably-voted-for-a-fictional-character
wrote-in-kanye-for-president
still-mad-at-adidas-over-the-yeezys"
Jason Derulo,"🎶jason derulo🎶
tiktok-thirsty
gate-way-to-imogen-heap"
Cardi B,"macaroni-in-a-pot
get-a-bucket-and-a-mop
wet-ass
certified-freak
touch-that-lil-dangly-thing
get-popped-piñata"
NIcki Minaj,"certified-barb
all-these-bitches-is-my-sons
pink-wig-thick-ass-give-'em-whiplash
in-the-comments-of-the-shade-room
got-a-cousin-in-trinidad-with-swollen-testicles"
Da Baby,he's-not-da-baby-he's-my-baby
Justin Bieber,"belieber
goes-to-church-hungover
r&bieber
justin-says-its-not-pop-okay
learned-all-one-lyric-to-yummy
perpetually-in-sweats"
Taylor Swift,"tay-tay-fangirl
swiftie-fangirl
songs-loosely-written-about-dating-harry-styles
bon-iver's-impact
went-to-the-woods-once
folklore-evermore-dumbledore-witch-pop
in-your-eras
TnT-4eva
its-me-hi
anti-hero
meet-me-at-midnight"
Miley Cyrus,"came-in-like-a-wrecking-ball
salvia-bong-rip-pop
mullet-pop
we-were-good-we-were-gold
close-up-facing-crying-on-camera"
Demi Lovato,"Proud-Lovatic
Cool-For-The-Summer-Year-Round
How-Many-Times-Have-You-Seen-Camp-Rock
revamped"
Harry Styles,"bought-a-dress-after-seeing-it-on-harry-styles
would-jump-in-front-of-a-bus-for-four-out-of-five-one-direction-members
loved-harry-since-x-factor
i-could-cook-an-egg on-you
dont-worry-darling"
Queen,"looks-like-someone-saw-the-queen-movie
requests-bohemian-rhapsody-at-wedddings
has-a-cat-named-freddie-with-a-handlebar-mustache"
Imagine Dragons,"radioactive-in-the-bad-way
chernobyl-esque
can't-name-the-members-in-the-band
you-made-me-a-believer"
Coldplay,"washed-up-brit
still-listening-to-the-scientist
conscious-uncoupling-rock
added-your-off-key-voice-to-the-world"
Bruno Mars,"parent-friendly-pop
cool-wedding-band
even-smaller-james-brown
always-leave-the-door-open"
Fleetwood Mac,"actual-fan-or-just-saw-the-skateboarder-with-the-cranberry-juice
stevie-knicks-idolizing
believes-the-rumors"
