signal,fragment
Generic genre,"too-much-[genre]
[genre]-overload
[genre]-fan
[genre]"
Emo,eyeliner-and-screaming
Death metal,hail-satan
Classical,pleated-khakis-classical
Jazz,jazz-snob
smooth jazz,elevator-music
kids music,honda-odyssey
holiday,christmas-hellscape
hip hop,test
r&b,test 2
,
,
,
,
