signal,fragment,notes
"Frozen (Original Motion Picture Soundtrack / Deluxe Edition), Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition), Frozen: The Broadway Musical (Original Broadway Cast Recording), Frozen (Original Motion Picture Soundtrack)","queen-of-arendelle
let-it-go",
"Moana (Original Motion Picture Soundtrack/Deluxe Edition), Moana (Original Motion Picture Soundtrack), Moana",heart-of-tefiti,
"RENT, Wicked, Phantom of the Opera, Les Miserables, Cats, Mamma Mi, The Book of Mormon, Chicago, A Chorus Line, Jersey Boys, Hairspray, The Producers, Dear Evan Hansen, MIss Saigon, Cabaret, Kinky Boots, In The Heights, Come from Aaway","musical-theater-dweeb
broadway-in-des-moines
basic-showtunes
tonys-watch-party",
"Fiddler on the Roof, Guys and Dolls, Hello Dolly, A Chorus Line, Oklahoma, Grease, Annie, West Side Story","high-school-drama-club
community-theater",
"Aladdin (Original Motion Picture Soundtrack), The Lion King, The Little Mermaid, Beauty and the Beast, The Hunchback of Notre Dame, Tarzan, Frozen, Moana, Frozen II, Mulan, Hercules, Pocahontas, Newsies, The Jungle Book, The Lady and the Tramp, Mary Poppins","disney-musical
soccer-carpool-soundtrack",
Hamilton (Original Broadway Cast Recording),"lin-manuel-miranda-stan
omg-you-guys-hamilton-is-amazing
smug-hamilton-stan",something related to Lin-Manuel Miranda or Hamilton complicit in slavery?
Nebraska,"depressed-springsteen
murder-ballad",
The Elder Scrolls V: Skyrim: Original Game Soundtrack,"skyrim
dragonborne
arrow-in-the-knee
elder-scrolls",
"Folklore, Evermore, For Emma, Forever Ago, 22, A Million, i,i, Fleet Foxes, Shore, Crack-Up, Helplessness Blues, Birdy, Fire Within, Beautiful Lies,","cottagecore
cabincore",
"Under The Mistletoe (Deluxe Edition), Under The Mistletoe",justin-is-baby-jesus,
Wrapped In Red,shouty-clarkson-christmas,
Love Actually Soundtrack,to-me-you-are-perfect,
The Godfather,offer-you-cant-refuse,
Doom (Original Game Soundtrack),"fragging-imps
BFG",
"Minecraft - Volume Alpha, Minecraft - Volume Beta","minecraft-tween
creative-mode",
TROLLS World Tour (Original Motion Picture Soundtrack),"princess-poppy
anna-kendrick-troll",
The Greatest Showman (Original Motion Picture Soundtrack),hugh-jackman-freak-show,
