signal,fragment
"I Don't Want To Miss A Thing, Wonderful Tonight, Amazed, Unchained Melody, Make You Feel My Love, Truly Madly Deeply, You're Still the One, I Swear, Thinking Out Loud, Because You Loved Me, Come Away With Me, Your Song, My Heart Will Go On, Bless the Broken Road, If I Ain't Got You, God Gave Me You, God Must Have Spent A Little More Time on You, Kiss Me, Kiss from a Rose, End Of The Road, How Do I live, Faithfully, From This Moment On, Angel of Mine, Iris, Stay With Me","slow-dance
awkward-middle-school-slow-dance
"
One Week,chickity-china-the-chinese-chicken
"Graduation (Friends Forever), Good Riddance (Time of Your Life), The Climb, I Hope You Dance, See You Again, Unwritten, I Will Remember You, We Are Young, How Far We've Come, Here's to the Night, Breakaway, Moment 4 Life, Photograph, Closing Time, End Of The Road, Started From The Bottom, 100 Years, A Moment Like This","omg-high-school-is-over
high-school-graduation"
I'll Be There For You,ross-and-rachel
star67,test
heymami,test
